id,date_time,symbol_pair,type,price,amount,fee,total
1,2021-04-15T14:54:44Z,BTCUSDT,sell,1.60,109.41,0.18,175.73
2,2021-04-15T15:47:18Z,BTCUSDT,buy,1.66,104.38,0.17,173.92
3,2021-04-15T16:39:51Z,BTCUSDT,sell,1.42,106.87,0.15,152.40
4,2021-04-15T17:32:25Z,BTCUSDT,buy,1.07,101.57,0.11,108.34
5,2021-04-15T18:24:59Z,BTCUSDT,sell,1.10,103.01,0.11,113.11
6,2021-04-15T19:17:32Z,BTCUSDT,buy,1.52,108.14,0.16,164.01
7,2021-04-15T20:10:06Z,BTCUSDT,sell,1.21,103.81,0.13,126.17
8,2021-04-15T21:02:39Z,BTCUSDT,buy,1.32,104.69,0.14,138.12
9,2021-04-15T21:55:13Z,BTCUSDT,sell,1.28,102.93,0.13,132.20
10,2021-04-15T22:47:47Z,BTCUSDT,buy,1.68,102.19,0.17,171.75
11,2021-04-15T23:40:20Z,BTCUSDT,sell,1.20,103.61,0.12,124.79
12,2021-04-16T00:32:54Z,BTCUSDT,buy,1.57,108.62,0.17,170.78
13,2021-04-16T01:25:27Z,BTCUSDT,sell,1.29,102.97,0.13,133.29
14,2021-04-16T02:18:01Z,BTCUSDT,buy,1.75,102.07,0.18,179.06
15,2021-04-16T03:10:35Z,BTCUSDT,sell,1.87,106.97,0.20,199.73
16,2021-04-16T04:03:08Z,BTCUSDT,buy,1.52,100.28,0.15,152.97
17,2021-04-16T04:55:42Z,BTCUSDT,sell,1.16,106.07,0.12,122.99
18,2021-04-16T05:48:15Z,BTCUSDT,buy,1.98,100.79,0.20,199.29
19,2021-04-16T06:40:49Z,BTCUSDT,sell,1.59,100.59,0.16,160.58
20,2021-04-16T07:33:23Z,BTCUSDT,buy,1.69,103.02,0.17,174.48
21,2021-04-16T08:25:56Z,BTCUSDT,sell,1.17,105.41,0.12,123.80
22,2021-04-16T09:18:30Z,BTCUSDT,buy,1.54,102.79,0.16,158.87
23,2021-04-16T10:11:03Z,BTCUSDT,sell,1.42,105.31,0.15,150.02
24,2021-04-16T11:03:37Z,BTCUSDT,buy,1.25,102.82,0.13,129.02
25,2021-04-16T11:56:11Z,BTCUSDT,sell,1.79,103.62,0.19,185.52
26,2021-04-16T12:48:44Z,BTCUSDT,buy,1.88,102.97,0.19,193.84
27,2021-04-16T13:41:18Z,BTCUSDT,sell,1.89,100.97,0.19,191.47
28,2021-04-16T14:33:51Z,BTCUSDT,buy,1.98,100.74,0.20,199.36
29,2021-04-16T15:26:25Z,BTCUSDT,sell,1.22,106.81,0.13,130.68
30,2021-04-16T16:18:59Z,BTCUSDT,buy,1.24,103.12,0.13,128.15
31,2021-04-16T17:11:32Z,BTCUSDT,sell,1.93,107.42,0.21,207.83
32,2021-04-16T18:04:06Z,BTCUSDT,buy,1.80,107.30,0.19,193.45
33,2021-04-16T18:56:39Z,BTCUSDT,sell,1.18,104.28,0.12,123.48
34,2021-04-16T19:49:13Z,BTCUSDT,buy,1.90,106.83,0.20,202.85
35,2021-04-16T20:41:47Z,BTCUSDT,sell,1.98,109.22,0.22,216.36
36,2021-04-16T21:34:20Z,BTCUSDT,buy,1.09,104.93,0.11,114.58
37,2021-04-16T22:26:54Z,BTCUSDT,sell,1.93,109.55,0.21,211.31
38,2021-04-16T23:19:27Z,BTCUSDT,buy,1.35,106.91,0.14,144.25
39,2021-04-17T00:12:01Z,BTCUSDT,sell,1.71,105.64,0.18,180.92
40,2021-04-17T01:04:35Z,BTCUSDT,buy,1.65,105.52,0.17,174.22
41,2021-04-17T01:57:08Z,BTCUSDT,sell,1.76,104.04,0.18,182.86
42,2021-04-17T02:49:42Z,BTCUSDT,buy,1.13,109.86,0.12,124.34
43,2021-04-17T03:42:15Z,BTCUSDT,sell,1.90,103.22,0.20,195.94
44,2021-04-17T04:34:49Z,BTCUSDT,buy,1.72,106.45,0.18,183.39
45,2021-04-17T05:27:23Z,BTCUSDT,sell,1.09,106.70,0.12,115.94
46,2021-04-17T06:19:56Z,BTCUSDT,buy,1.62,103.70,0.17,168.44
47,2021-04-17T07:12:30Z,BTCUSDT,sell,1.24,105.35,0.13,130.43
48,2021-04-17T08:05:03Z,BTCUSDT,buy,1.19,102.39,0.12,121.68
49,2021-04-17T08:57:37Z,BTCUSDT,sell,1.63,101.27,0.16,165.04
50,2021-04-17T09:50:11Z,BTCUSDT,buy,1.28,104.10,0.13,133.52
51,2021-04-17T10:42:44Z,BTCUSDT,sell,1.43,106.25,0.15,152.61
52,2021-04-17T11:35:18Z,BTCUSDT,buy,1.55,106.24,0.16,164.85
53,2021-04-17T12:27:51Z,BTCUSDT,sell,1.73,108.31,0.19,187.47
54,2021-04-17T13:20:25Z,BTCUSDT,buy,1.00,107.36,0.11,107.52
55,2021-04-17T14:12:59Z,BTCUSDT,sell,1.40,104.98,0.15,147.12
56,2021-04-17T15:05:32Z,BTCUSDT,buy,1.60,104.10,0.17,167.13
57,2021-04-17T15:58:06Z,BTCUSDT,sell,1.03,100.02,0.10,103.09
58,2021-04-17T16:50:39Z,BTCUSDT,buy,1.00,109.16,0.11,109.58
59,2021-04-17T17:43:13Z,BTCUSDT,sell,1.59,105.59,0.17,168.04
60,2021-04-17T18:35:47Z,BTCUSDT,buy,1.82,108.78,0.20,197.68
61,2021-04-17T19:28:20Z,BTCUSDT,sell,1.46,106.00,0.15,154.75
62,2021-04-17T20:20:54Z,BTCUSDT,buy,1.03,108.46,0.11,111.42
63,2021-04-17T21:13:27Z,BTCUSDT,sell,1.25,106.42,0.13,133.12
64,2021-04-17T22:06:01Z,BTCUSDT,buy,1.25,101.74,0.13,127.04
65,2021-04-17T22:58:35Z,BTCUSDT,sell,1.59,108.14,0.17,172.40
66,2021-04-17T23:51:08Z,BTCUSDT,buy,1.69,100.30,0.17,170.07
67,2021-04-18T00:43:42Z,BTCUSDT,sell,1.54,109.76,0.17,169.11
68,2021-04-18T01:36:15Z,BTCUSDT,buy,1.75,102.94,0.18,180.40
69,2021-04-18T02:28:49Z,BTCUSDT,sell,1.75,101.51,0.18,178.14
70,2021-04-18T03:21:23Z,BTCUSDT,buy,1.36,108.32,0.15,147.00
71,2021-04-18T04:13:56Z,BTCUSDT,sell,1.23,106.28,0.13,131.05
72,2021-04-18T05:06:30Z,BTCUSDT,buy,1.50,100.90,0.15,151.34
73,2021-04-18T05:59:03Z,BTCUSDT,sell,1.03,103.92,0.11,106.65
74,2021-04-18T06:51:37Z,BTCUSDT,buy,1.59,109.30,0.17,173.89
75,2021-04-18T07:44:11Z,BTCUSDT,sell,1.57,105.89,0.17,166.63
76,2021-04-18T08:36:44Z,BTCUSDT,buy,1.41,105.53,0.15,149.13
77,2021-04-18T09:29:18Z,BTCUSDT,sell,1.49,109.58,0.16,163.61
78,2021-04-18T10:21:51Z,BTCUSDT,buy,1.80,101.07,0.18,181.83
79,2021-04-18T11:14:25Z,BTCUSDT,sell,1.78,103.93,0.19,185.50
80,2021-04-18T12:06:59Z,BTCUSDT,buy,1.13,101.90,0.12,115.30
81,2021-04-18T12:59:32Z,BTCUSDT,sell,1.74,106.54,0.19,185.55
82,2021-04-18T13:52:06Z,BTCUSDT,buy,1.10,105.20,0.12,115.67
83,2021-04-18T14:44:39Z,BTCUSDT,sell,1.10,101.52,0.11,111.75
